Random Seed,NSamples,Event,Shapley Value,t (event index),Entity,Tolerance
42,1000,Event -6,0.25413548847039547,-5,137329,1.25e-06
42,1000,Event -1,-0.0026443683675357555,0,189820,1.25e-06
42,1000,Event -2,-0.046404109753313466,-1,189820,1.25e-06
42,1000,Event -3,-0.003181352076076383,-2,189820,1.25e-06
42,1000,Event -4,0.0040737739631107606,-3,189820,1.25e-06
42,1000,Event -5,-0.10776925867512104,-4,189820,1.25e-06
42,1000,Event -6,0.024195185445603833,-5,189820,1.25e-06
42,1000,Event -7,0.4642004272767476,-6,189820,1.25e-06
42,1000,Event -1,-0.03126579423745478,0,159757,1.25e-06
42,1000,Event -2,-0.053099503368139275,-1,159757,1.25e-06
42,1000,Event -3,-0.06489381591478985,-2,159757,1.25e-06
42,1000,Event -4,-0.06728515302141502,-3,159757,1.25e-06
42,1000,Event -5,0.48890125354131064,-4,159757,1.25e-06
42,1000,Event -1,0.02630665898323059,0,168082,1.25e-06
42,1000,Event -1,-0.019894252220789596,0,166466,1.25e-06
42,1000,Event -2,0.15085511406262717,-1,166466,1.25e-06
42,1000,Event -3,0.41817985971768695,-2,166466,1.25e-06
42,1000,Event -1,0.05543053150177002,0,132004,1.25e-06
42,1000,Event -1,-0.007863201200962067,0,114179,1.25e-06
42,1000,Event -2,-0.0009914959470431,-1,114179,1.25e-06
42,1000,Event -3,-0.0012290055553118386,-2,114179,1.25e-06
42,1000,Event -4,0.5483706866701444,-3,114179,1.25e-06
42,1000,Event -1,-0.005448795855045319,0,135810,1.25e-06
42,1000,Event -2,-0.13933851569890976,-1,135810,1.25e-06
42,1000,Event -1,-0.07033893465995789,0,109340,1.25e-06
42,1000,Event -2,0.008972764015197754,-1,109340,1.25e-06
42,1000,Event -1,-0.021752275526523587,0,115642,1.25e-06
42,1000,Event -2,0.0073644046982129395,-1,115642,1.25e-06
42,1000,Event -3,0.019575349986553196,-2,115642,1.25e-06
42,1000,Event -4,0.5390453065435091,-3,115642,1.25e-06
42,1000,Event -1,0.03402857482433319,0,117539,1.25e-06
42,1000,Event -2,-0.010676458477973938,-1,117539,1.25e-06
42,1000,Event -3,0.4727115035057068,-2,117539,1.25e-06
42,1000,Event -1,-0.002620674669742582,0,123036,1.25e-06
42,1000,Event -2,0.10076648245255147,-1,123036,1.25e-06
42,1000,Event -3,0.007267537216345482,-2,123036,1.25e-06
42,1000,Event -4,0.34558114657799405,-3,123036,1.25e-06
42,1000,Event -1,0.0021813511848449707,0,102205,1.25e-06
42,1000,Event -2,0.36340126395225525,-1,102205,1.25e-06
42,1000,Event -1,-0.006666192909081773,0,107281,1.25e-06
42,1000,Event -2,0.020283101002375258,-1,107281,1.25e-06
42,1000,Event -3,-0.1193025430043537,-2,107281,1.25e-06
42,1000,Event -4,0.09740063846111285,-3,107281,1.25e-06
42,1000,Event -5,0.06698043197393418,-4,107281,1.25e-06
42,1000,Event -1,0.15169446170330048,0,180782,1.25e-06
42,1000,Event -2,-0.013234719634056091,-1,180782,1.25e-06
42,1000,Event -1,-0.013957813382148743,0,147137,1.25e-06
42,1000,Event -2,-0.11140191555023193,-1,147137,1.25e-06
42,1000,Event -1,0.01894448896249146,0,160667,1.25e-06
42,1000,Event -2,-0.03253628363211948,-1,160667,1.25e-06
42,1000,Event -3,-0.08216189369559292,-2,160667,1.25e-06
42,1000,Event -4,-0.023131264994541843,-3,160667,1.25e-06
42,1000,Event -5,-0.10878625338276235,-4,160667,1.25e-06
42,1000,Event -6,-0.055737315863370857,-5,160667,1.25e-06
42,1000,Event -1,-0.0066644251346588135,0,101523,1.25e-06
42,1000,Event -2,0.3679487109184265,-1,101523,1.25e-06
42,1000,Event -1,0.18761209895213446,0,151193,1.25e-06
42,1000,Event -2,-0.017294175922870636,-1,151193,1.25e-06
42,1000,Event -3,0.0001803065339723938,-2,151193,1.25e-06
42,1000,Event -4,0.37251653522253036,-3,151193,1.25e-06
42,1000,Event -1,-0.0002770697077115386,0,172445,1.25e-06
42,1000,Event -2,-0.0052984977761904445,-1,172445,1.25e-06
42,1000,Event -3,0.02094977845748266,-2,172445,1.25e-06
42,1000,Event -4,0.49965927253166836,-3,172445,1.25e-06
42,1000,Event -1,0.1835147390762965,0,188188,1.25e-06
42,1000,Event -2,-0.01355724533398947,-1,188188,1.25e-06
42,1000,Event -3,0.46021782855192817,-2,188188,1.25e-06
42,1000,Event -1,-0.006434440612792969,0,188176,1.25e-06
42,1000,Event -2,0.2839480936527252,-1,188176,1.25e-06
42,1000,Event -1,-0.03991550952196121,0,175642,1.25e-06
42,1000,Event -2,0.027652479708194733,-1,175642,1.25e-06
42,1000,Event -1,0.13419479131698608,0,193527,1.25e-06
