Coalition,t (event index),Shapley Value,Entity
Sum of contribution of events ≤ t,0,-0.4355647535994649,162771
Sum of contribution of events > t,-1,-0.0678811208344996,162771
Sum of contribution of events ≤ t,-1,-0.3676836327649653,162771
Sum of contribution of events > t,-2,-0.07390623027458787,162771
Sum of contribution of events ≤ t,-2,-0.361658523324877,162771
Sum of contribution of events > t,-3,-0.1728560240007937,162771
Sum of contribution of events ≤ t,-3,-0.2627087295986712,162771
Sum of contribution of events > t,-4,-0.36427564593032,162771
Sum of contribution of events ≤ t,-4,-0.07128910766914487,162771
Sum of contribution of events > t,-5,-0.4355647535994649,162771
Sum of contribution of events ≤ t,-5,0.0,162771
Sum of contribution of events > t,0,0.0,104311
Sum of contribution of events ≤ t,0,0.1537938117980957,104311
Sum of contribution of events > t,-1,-0.004390925168991089,104311
Sum of contribution of events ≤ t,-1,0.1581847369670868,104311
Sum of contribution of events > t,-2,0.08245477080345154,104311
Sum of contribution of events ≤ t,-2,0.07133904099464417,104311
Sum of contribution of events > t,-3,0.07580754160881042,104311
Sum of contribution of events ≤ t,-3,0.07798627018928528,104311
Sum of contribution of events > t,-4,-0.0828062891960144,104311
Sum of contribution of events ≤ t,-4,0.2366001009941101,104311
Sum of contribution of events > t,-5,0.07753261923789978,104311
Sum of contribution of events ≤ t,-5,0.07626119256019592,104311
Sum of contribution of events > t,-6,0.06430721282958984,104311
Sum of contribution of events ≤ t,-6,0.08948659896850586,104311
Sum of contribution of events > t,-7,0.0390259325504303,104311
Sum of contribution of events ≤ t,-7,0.1147678792476654,104311
Sum of contribution of events > t,-8,0.03560459613800049,104311
Sum of contribution of events ≤ t,-8,0.11818921566009521,104311
Sum of contribution of events > t,-9,0.05279499292373657,104311
Sum of contribution of events ≤ t,-9,0.10099881887435913,104311
Sum of contribution of events > t,-10,0.1537938117980957,104311
Sum of contribution of events ≤ t,-10,0.0,104311
Sum of contribution of events > t,0,0.0,126841
Sum of contribution of events ≤ t,0,0.2312793731689453,126841
Sum of contribution of events > t,-1,-0.004494220018386841,126841
Sum of contribution of events ≤ t,-1,0.23577359318733215,126841
Sum of contribution of events > t,-2,0.0641171932220459,126841
Sum of contribution of events ≤ t,-2,0.16716217994689941,126841
Sum of contribution of events > t,-3,0.05807414650917053,126841
Sum of contribution of events ≤ t,-3,0.17320522665977478,126841
Sum of contribution of events > t,-4,0.0035293996334075928,126841
Sum of contribution of events ≤ t,-4,0.22774997353553772,126841
Sum of contribution of events > t,-5,0.006413638591766357,126841
Sum of contribution of events ≤ t,-5,0.22486573457717896,126841
Sum of contribution of events > t,-6,0.00142708420753479,126841
Sum of contribution of events ≤ t,-6,0.22985228896141052,126841
Sum of contribution of events > t,-7,0.0026285946369171143,126841
Sum of contribution of events ≤ t,-7,0.2286507785320282,126841
Sum of contribution of events > t,-8,0.007317185401916504,126841
Sum of contribution of events ≤ t,-8,0.2239621877670288,126841
Sum of contribution of events > t,-9,0.2312793731689453,126841
Sum of contribution of events ≤ t,-9,0.0,126841
Sum of contribution of events > t,0,0.0,190291
Sum of contribution of events ≤ t,0,0.16697147488594055,190291
Sum of contribution of events > t,-1,0.2034602239727974,190291
Sum of contribution of events ≤ t,-1,-0.03648874908685684,190291
Sum of contribution of events > t,-2,0.16697147488594055,190291
Sum of contribution of events ≤ t,-2,0.0,190291
Sum of contribution of events > t,0,0.0,166923
Sum of contribution of events ≤ t,0,0.4794440269470215,166923
Sum of contribution of events > t,-1,0.04770302772521973,166923
Sum of contribution of events ≤ t,-1,0.43174099922180176,166923
